//LPD10:200317:200317:0:1400:1800:0:24000:SFL250
//LPD25:200317:200317:0:1300:1800:5500:8000:SFL090
//LPD28B:200317:200317:0:1400:2300:0:6000:SFL070
//LPD62:200317:200317:0:1300:1430:0:5000:SFL070
LPD66:200317:200317:0:1100:1700:0:5000:SFL060
//LPD67:200317:200317:0:1430:1630:4000:30000:SFL310
NEVERLAND:200317:200317:0:1530:1730:24500:28000:SFL290
LPR42BAMC:200317:200317:0:1100:1800:1000:9000: 
//LPR51BNAMC:200317:200317:0:1230:1400:10500:25000:SFL260
//LPR51BSAMC:200317:200317:0:1230:1400:10500:25000:SFL260
//LPR60BAMC:200317:200317:0:1430:1630:24500:50000:SFL530
SNOWFALL:200317:200317:0:1530:1630:24500:28000:SFL290
//LPTRA13:200317:200317:0:1430:1600:0:25000:SFL260
LPTRA54:200317:200317:0:1100:1300:0:24500:SFL260
LPTRA54:200317:200317:0:1430:1730:0:24500:SFL260
LPTRA55:200317:200317:0:1100:1300:1500:24500:SFL260
LPTRA55:200317:200317:0:1430:1730:1500:24500:SFL260
//LPTRA56:200317:200317:0:1300:1430:0:10000:SFL110
//LPTRA57:200317:200317:0:1400:1700:0:10000:SFL110

//SPAIN AREAS LED119,120,121,122,123,124,129,LER86
//LED119:200317:200317:0:1500:2100:24500:60000:LED119 ACTIVA
LED120:200317:200317:0:1100:1900:0:24500:LED120 ACTIVA
LED121:200317:200317:0:1100:1300:0:24500:LED121 ACTIVA
LED121:200317:200317:0:1300:1500:11000:24000:LED121 ACTIVA
LED121:200317:200317:0:1500:1700:0:24500:LED121 ACTIVA
LED121:200317:200317:0:1700:2148:11000:24500:LED121 ACTIVA
LED122:200317:200317:0:1300:1500:11000:24000:LED122 ACTIVA
LED122:200317:200317:0:1700:2148:11000:24000:LED122 ACTIVA
LED123:200317:200317:0:1200:1315:2000:24500:LED122 ACTIVA
LED124:200317:200317:0:1200:1315:24500:99900:LED122 ACTIVA
LED129:200317:200317:0:1300:1500:11000:24000:LED129 ACTIVA
LED129:200317:200317:0:1700:2148:11000:24000:LED129 ACTIVA
LER86A:200317:200317:0:1100:1930:0:45000:LER86 ACTIVA
LER86B:200317:200317:0:1100:1930:5000:24500:LER86 ACTIVA
LER86C:200317:200317:0:1100:1930:24500:45000:LER86 ACTIVA
