AAB	Abelag Aviation	ABG
AAC	Army Air Corps	Armyair
AAD	?	Panabear
AAE	?	Arizona
AAF	Aigle Azur - France	Aigle Azur
AAH	Aeko Kula, Inc. D/B/A Aloha Air Cargo (Honolulu, HI)	Aloha
AAI	Air Aurora, Inc. (Sugar Grove, IL) - United States	Borealis
AAJ	Alfa Airlines Co., Ltd - Sudan	Alfa Sudan
AAK	Alaska Island Air, Inc. (Anchorage, AK)	Alaska Island
AAL	American Airlines Inc.	American
AAM	?	Aim Air
AAN	?	Aspan Jet
AAO	?	Aerointer
AAP	Arabasco Air Services - Saudi Arabia	Arabasco
AAQ	?	Asia Atlantic
AAR	Asiana Airlines - Republic of Korea	Asiana
AAS	Askari Aviation (Pvt) Ltd - Pakistan	Al-Aas
AAV	Astro Air International, Inc. - Philippines	Astro-Phil
AAW	African Airlines Corporation - Libyan Arab Jamahiriya	Afriqiyah
AAX	Advance Aviation Co., Ltd	Advance Aviation
AAY	Allegiant Air, Inc. (Fresno, CA)	Allegiant 
AAZ	Aeolus Air Limited	Aeolus
ABA	Aero-Beta GmbH & Co., Stuttgart - Germany	Aerobeta
ABB	?	Air Belgium
ABD	Air Atlanta Icelandic - Iceland	Atlanta
ABE	Aban Air	Aban
ABF	Scanwings Oy, Finland	Skywings
ABG	?	Royal Flight
ABI	Alba-Air Aviacion, S.L. - Spain	Airalbacete
ABL	Air Busan - Republic of Korea	Air Busan
ABM	Aero Albatros - Spain	Albatros Espana
ABO	Aeroexpreso Bogota - Colombia	Aeroexpreso
ABP	ABS Jets	Bair
ABQ	Airblue Limited, M/S. - Pakistan	Pakblue
ABR	Ireland	Contract
ABT	?	Benways
ABV	Antrak Air Ghana - Ghana	Antrak
ABW	Airbridge Cargo Airlines Ltd - Russian Federation	Airbridge Cargo
ABX	ABX Air, Inc. (Wilmington, OH)	Abex
ABY	Air Arabia	Arabia
ABZ	?	Island Lifeflight
ACA	Air Canada	Air Canada
ACB	Air Continental Africa - Gabon	Airconti
ACD	Academy Airlines (Griffin, GA)	Academy
ACF	Centro de Formacion Aeronautica de Canarias - Spain	Forcan
ACI	Air Caledonie International - France	Aircalin
ACJ	AC Aviation CO., Ltd	Sinojet
ACK	Nantucket Airlines (Nantucket, MA)	Ack Air
ACL	?	Admire
ACN	Aerolineas Centroamericanas, S.A. (Central American  Airlines) - Nicaragua	Aerocentro
ACO	Aero Comondu, S.A. de C.V. - Mexico	Aero Comondu
ACP	Astral Aviation Limited - Kenya	Astral Cargo
ACQ	Aryan Cargo Express - India	Ace Cargo
ACR	Aerocenter, Escuela de Formacion de Pilotos Privados de Avion - Spain	Aerocenter
ACS	Aircraft Sales and Services (Pvt) Ltd - Pakistan	Aircraft Sales
ACT	Flight Line, Inc. (Denver, CO)	American Check
ACU	Air Cargo Transportation System Limited - Kenya	Afrispirit
ACV	?	Carnair
ACW	?	Seracro
ACY	Atlas Cargo Lines - Morocco	Atlas Cargolines
ADA	Airservices Australia, Flight Inspection Unit - Australia	Auscal
ADB	Antonov Design Bureau - Ukraine	Antonov Bureau
ADC	Ad Astra Executive Charter Sp.z.o.o. - Poland	Ad Astra
ADE	Ada Air - Albania	Ada Air
ADG	Aerea Flying Training Organization, S.A. - Spain	Aerea Training
ADI	Audeli Air Express - Spain	Audeli
ADK	Aviation Development Company Nigeria Limited - Nigeria	Adco
ADL	Aero Dynamics	Cotswold
ADN	?	Aerodienst
ADO	?	Air Do
ADP	Aerodiplomatic, S.A. de C.V. - Mexico	Aerodiplomatic
ADR	Adria Airways - Slovenia	Adria
ADS	Aviones de Sonora, S.A. - Mexico	Sonorav
ADT	Arrendamientos y Transportes Turisticos, S.A. de C.V. - Mexico	Arrenda-Trans
ADV	Advanced Flight Training Ltd - United Kingdom	Advanced
ADZ	Aviodelta - Bulgaria	Migrator
AEA	Air Europa - Spain	Europa
AEB	Aero Benin SA - Benin	Aeroben
AEE	Aegean Airlines - Greece	Aegean
AEG	?	Airest Cargo
AEH	?	Aerocutter
AEI	?	Polish Bird
AEJ	Air Express Limited - United Republic of Tanzania	Khaki Express
AEK	Aerocon Ltda. - Bolivia	Aerocon
AEL	Aero Caly, S.A. de C.V. - Mexico	Aero Caly
AEM	Aero Madrid - Spain	Aeromadrid
AEO	Aeroservicios Ejecutivos del Occidente, S.A. de C.V. - Mexico	Aero Occidente
AEP	Aerotec - Spain	Aerotec
AER	Alaska Central Express, Inc. (Fairbanks, AK)	Ace Air
AES	Aero Sur Paraguay S.A. - Paraguay	Aeroparaguay
AET	Aeronautical Radio of Thailand Ltd - Thailand	Aerothai
AEV	Aeroventas, S.A. - Mexico	Aeroventas
AEW	Aerosvit Airlines - Ukraine	Aerosvit
AEX	?	Aerox
AEY	Air Italy S.p.A. - Italy	Air Italy
AFA	Alfa Air - Czech Republic	Blue Alfa
AFB	Bulgarian Air Force	Bulaf
AFC	African West Air (AWA) - Senegal	African West
AFE	Airfast Indonesia, Pt. - Indonesia	Airfast
AFF	Africa Airways - Benin	Afriways
AFG	Ariana Afghan Airlines - Afghanistan	Ariana
AFH	Air Afghanistan International - Afghanistan	Air Afghanistan
AFI	Africaone - Uganda	Africaworld
AFJ	Alliance - Uganda	Jambo
AFL	Aeroflot - Russian Airlines	Aeroflot
AFN	?	Hekla
AFO	Aero Empresa Mexicana, S.A. - Mexico	Aero Empresa
AFP	Portuguese Air Force	Portuguese Air Force
AFQ	Alba Servizi Aerotrasporti SpA - Italy	Alba
AFR	Air France - France	Airfrans
AFW	Africa World Airlines Limited - Ghana	Blackstar
AFY	Africa Chartered Services - Nigeria	Africa Chartered
AFZ	Africa Freight Services (Z) Limited - Zambia	Afreight
AGA	?	Geoline
AGC	Strategic Airlines Pty Ltd - Australia	Strategic
AGE	Airgo Airlines Bulgaria - Bulgaria	Sky Runners
AGF	?	Air Georgia
AGH	Altagna - France	Altagna
AGI	Aereo Transportes Los Angeles de America, S.A. de C.V. - Mexico	Angeles America
AGL	Air Galaxy Limited - Bangladesh	Galaxy Cargo
AGM	?	Angel Med
AGN	Compagnie Nationale Air Gabon - Gabon	Golf November
AGO	AAC-Angola Air Charter Limited	Angola Charter
AGP	Aerfi Group Plc - Ireland	Air Tara
AGT	Amadeus Global Travel Distribution S.A. - Spain	Amadeus
AGU	Angara Airlines JSC - Russian Federation	Sarma
AGV	Air Glaciers SA - Switzerland	Air Glaciers
AGX	Aviogenex - Serbia	Genex
AGY	?	Egyptian Bird
AGZ	Agrolet-Mci Ltd - Slovakia	Agrolet
AHA	Air Alpha A/S - Denmark	Air Alpha
AHB	?	Alhambra
AHD	Czech Air Handling	Airhandling
AHE	Airport Helicopter Basel, Hans-Rudolf Muller - Switzerland	Airport Helicopter
AHF	Aspen Helicopters, Inc. (Oxnard, CA)	Aspen
AHH	Airplanes Holdings Ltd - Ireland	Airhold
AHI	Servicios Aereos de Chihuahua Aerochisa, S.A. de C.V. - Mexico	Aerochisa
AHJ	Aviones y Helicopteros Ejecutivos, S.A. de C.V. - Mexico	Avycop
AHK	AHK Air Hong Kong Limited - Hong Kong, China	Air Hong Kong
AHL	Aerolineas Hidalgo, S.A. de C.V. - Mexico	Hidalgo
AHM	Atlantis Helicopters de Mexico, S.A. de C.V. - Mexico	Heli Atlantis
AHO	Air Hamburg - Germany	Air Hamburg
AHS	?	High Sky
AHT	HTA Helicopteros, Lda - Portugal	Heliapra
AHU	ABC Air Hungary Ltd	ABC Hungary
AHW	?	Sky Capital
AHX	Amakusa Airlines Co.,Ltd - Japan	Amakusa Air
AHY	Azerbaijan Hava Yollari, National Airline - Azerbaijan	Azal
AIA	Avies	Avies
AIB	Airbus Industrie - France	Airbus Industrie
AIC	Air India Limited - India	Airindia
AID	Christian Konig - Century Airbirds - Austria	Century Airbird
AIE	Air Inuit Ltd. - Canada	Inuit
AIH	?	Air Incheon
AIJ	ABC Aerolineas, S.A. de C.V.	ABC Aerolineas
AIK	African Airlines International Limited - Kenya	African Airlines
AIM	Trabajos Aereos Murcianos S.L. - Spain	Pijo
AIN	African International Airways (Pty) Ltd - South Africa	Fly Cargo
AIO	Chief of Staff, United States Air Force (Andrews AFB, MD)	Air Chief
AIP	Alpine Aviation, Inc. (Provo, UT)	Alpine Air
AIQ	Thai Air Asia Co., Ltd	Thai Asia
AIR	Airlift International Inc.	Airlift
AIS	Air Sureste - Spain	Sureste
AIT	Air Taurus LLC - Ukraine	Air Taurus
AIX	Aircruising Australia - Australia	Cruiser
AIY	Aircrew Check and Training Australia - Australia	Aircrew
AIZ	Arkia Israel Inland Airlines - Israel	Arkia
AJA	?	Afghan Jet
AJB	Aero JBR, S.A. de C.V. - Mexico	Aero JBR
AJC	Bar Harbor Airlines (Bangor, ME)	Bar Harbor
AJD	Vista Georgia - Georgia	Vista Georgia
AJE	Aero Jet Express, S.A. de C.V. - Mexico	Jet Expres
AJF	Avia Consult Flugbetriebs GmbH - Austria	Aviaconsult
AJH	Aeroaljarafe S.L. - Spain	Aljarafe
AJI	Ameristar Jet Charter, Inc. (Dallas, TX)	Ameristar
AJJ	?	Avjet
AJK	Allied Air Limited - Nigeria	Bambi
AJL	Almajet - France	Bird Express
AJM	Air Jamaica - Jamaica	Jamaica
AJN	Automotriz Baja Norte, S.A. de C.V. - Mexico	Bajante
AJO	Aero Ejecutivo, S.A. de C.V. - Mexico	Aeroexo
AJP	Aero Jets Corporativos, S.A. de C.V. - Mexico	Aerojets
AJQ	?	Panajet
AJR	A-Jet Aviation Co. Ltd - Mongolia	Jet Mongolia
AJS	Aeroejecutivos, Aeroservicios Ejecutivos - Colombia	Aeroejecutivos
AJT	Amerijet International (Ft.Lauderdale, FL)	Amerijet
AJU	Air Jetsul - Portugal	Airjetsul
AJV	?	Lee Jet
AJW	Alpha Jet International (Sheffield, AL)	Alphajet
AJX	Air Japan Co., Ltd - Japan	Air Japan
AJZ	Anglo American South Africa Limited - South Africa	Anglo Jet
AKC	Asialink Cargo Express, Pt - Indonesia	Asialink Cargo
AKG	84 Sqn RAF Akrotiri	Grifter
AKH	Akhal - Turkmenistan	Akhal
AKK	Sundt Air Management - Norway	Aker
AKL	Air Kiribati Limited - Kiribati	Air Kiribati
AKN	Alkan Air Ltd. - Canada	Alkan Air
AKQ	Aerospace Consortium Ltd - Kenya	Moonlight
AKR	Aero Clinker, S.A. de C.V. - Mexico	Aero Clinker
AKS	?	Akel
AKW	Angkor Airways - Cambodia	Angkorways
AKX	Ana Wings Co., Ltd - Japan	Alfa Wing
AKY	Yak-Service	Yak-Service
ALB	Aero Albatros - Mexico	Albatros
ALC	Southern Jersey Airways, Inc. (Atlantic City, NJ)	Acom
ALD	?	Air Leisure
ALE	Air Lift International of Ghana Limited - Ghana	Airlift Ghana
ALF	Allied Command Europe (Mobile Force) - Belgium	Aceforce
ALI	Airlift AS	Bluelift
ALK	Srilankan Airlines - Sri Lanka	Srilankan
ALL	Aerovallarta, S.A. de C.V. - Mexico	Vallarta
ALN	?	Tolemac
ALO	Pennsylvania Commuter Airlines, Inc. (Middletown, PA) - United States	Allegheny
ALP	?	Allpoints
ALR	Alfa Air Services - Romania	Alfa Group
ALS	Aeralp - France	Aeralp
ALT	Aerolineas Centrales, S.A. de C.V. - Mexico	Aerolineas Centrales
ALU	Air Luxor STP - Sao Tome and Principe	Luxorjet
ALV	Aeropostal Alas de Venezuela - Venezuela	Aeropostal
ALY	?	Alas Uruguay
AMB	?	Civil Air Ambulance
